seq,rtt_ms,oneway_est_ms
692,8.37,4.19
693,9.27,4.64
694,9.79,4.89
695,7.42,3.71
696,16.75,8.37
697,11.31,5.65
698,12.53,6.27
699,5.76,2.88
700,14.07,7.04
701,10.14,5.07
702,8.93,4.47
703,11.52,5.76
704,10.19,5.10
705,6.26,3.13
706,12.68,6.34
707,6.27,3.14
708,6.64,3.32
709,5.44,2.72
710,19.07,9.54
711,12.50,6.25
712,5.96,2.98
713,5.77,2.89
714,21.91,10.95
715,12.84,6.42
716,7.13,3.57
717,18.59,9.29
718,11.34,5.67
719,9.64,4.82
720,10.18,5.09
721,10.80,5.40
722,10.63,5.31
723,12.43,6.22
724,13.63,6.82
725,11.57,5.78
726,5.99,2.99
727,17.93,8.96
728,11.32,5.66
729,10.83,5.42
730,9.15,4.57
731,8.22,4.11
732,20.75,10.37
733,10.51,5.25
734,6.45,3.23
735,7.80,3.90
736,43.47,21.74
737,10.11,5.05
738,5.78,2.89
739,7.64,3.82
740,15.47,7.73
741,9.08,4.54
742,7.90,3.95
743,14.92,7.46
744,8.02,4.01
745,16.15,8.07
746,11.41,5.70
747,14.51,7.25
748,5.61,2.81
749,8.68,4.34
750,8.42,4.21
751,12.98,6.49
752,5.60,2.80
753,5.31,2.66
754,8.29,4.15
755,11.79,5.90
756,10.11,5.06
757,7.53,3.76
758,9.24,4.62
759,10.17,5.08
760,9.30,4.65
761,4.90,2.45
762,6.96,3.48
763,10.38,5.19
764,15.50,7.75
765,9.21,4.61
766,7.89,3.95
767,13.31,6.66
768,8.16,4.08
769,5.69,2.84
770,7.13,3.57
771,8.79,4.39
772,12.01,6.01
773,6.00,3.00
774,18.17,9.09
775,8.18,4.09
776,10.29,5.15
777,8.03,4.02
778,8.56,4.28
779,16.84,8.42
780,9.66,4.83
781,6.39,3.20
782,6.28,3.14
783,10.13,5.06
784,6.91,3.45
785,6.83,3.41
786,5.44,2.72
787,11.20,5.60
788,5.43,2.71
789,6.84,3.42
790,10.10,5.05
791,25.04,12.52
792,5.81,2.90
793,7.19,3.59
794,5.77,2.89
795,6.17,3.09
796,6.58,3.29
797,12.54,6.27
798,8.75,4.38
799,10.08,5.04
800,9.41,4.71
801,9.15,4.58
802,6.48,3.24
803,6.76,3.38
804,9.58,4.79
805,11.90,5.95
806,9.40,4.70
807,16.12,8.06
808,33.53,16.77
