frequency,wavelength,ajoint,score,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.243125,1.48,0.45,5.595589196743848,5.6705169278065215,-0.6885140080650041,14.98554621253473,17.988802532034175,27.5542757529285,0.10086124400926988
1.25125,1.655,0.45,5.590322302011343,5.669598827433452,-0.3978543602877812,15.855305084421891,20.069476623384904,28.88621746560077,0.10134767683388246
1.2349999999999999,1.5675000000000001,0.45,5.588800297335609,5.664857682206676,-0.9130420510920092,15.21147697421336,18.77741529003229,28.45528274102955,0.10088739470011897
1.2349999999999999,1.585,0.45,5.588731573084468,5.665123611832552,-0.9100133947245688,15.278407749616768,18.964301806695687,28.6377469638413,0.10092508727876218
1.2349999999999999,1.55,0.45,5.5849608592178965,5.6606480348679,-0.9160525152072975,15.137435130000723,18.584640805052477,28.253849504191017,0.1008482886151182
1.2349999999999999,1.6025,0.45,5.584922957908596,5.661614352028363,-0.9070354684901522,15.338278823953395,19.145377321583062,28.76178569024092,0.10096117522403923
1.259375,1.4625000000000001,0.45,5.583450238527652,5.659815846615728,-0.24220616074737608,15.273121617615143,18.17427887502782,27.503417619790085,0.10127290583316102
1.259375,1.62,0.45,5.578856357026759,5.65850611601962,-0.1920379000449208,15.92995179857204,19.90552289725004,28.886667346249396,0.10147555326979152
1.2349999999999999,1.62,0.45,5.577527240312661,5.654484693595276,-0.9038779680510014,15.391490656523082,19.3209856639107,28.8154090637732,0.10099549545165576
1.2349999999999999,1.5325,0.45,5.577162526727549,5.652444347140228,-0.9187778272393189,15.056364082535694,18.38608190477733,28.06477598436294,0.10080799009031849
1.243125,1.6724999999999999,0.45,5.575722472564291,5.654249579772242,-0.6400205190485899,15.70542144159027,20.03216793857,28.874146578452738,0.10121931614111127
1.25125,1.445,0.45,5.5743371227257965,5.649206636389138,-0.46121486788785643,14.973902732668405,17.7595832562007,27.20266332698391,0.10099534172380656
1.243125,1.4625000000000001,0.45,5.572654370309629,5.647047128150342,-0.6900029769868811,14.878551568142493,17.768899483495197,27.340317781642444,0.10081765250699021
1.2349999999999999,1.6375,0.45,5.566578878781616,5.64377176135536,-0.9002350855152884,15.438576514748721,19.491559511102913,28.828833318711713,0.10102791097883361
1.2349999999999999,1.5150000000000001,0.45,5.565664099156905,5.640507759793419,-0.9208165516855826,14.968732127302804,18.182269851832054,27.873501367358955,0.10076675193896044
1.25125,1.6724999999999999,0.45,5.564941006452809,5.644376194229388,-0.3909714237031232,15.887037555315795,20.226922838978744,28.894862747420714,0.10135842575624769
1.259375,1.445,0.45,5.56137297486072,5.637194917716266,-0.24488019968861954,15.164388571109162,17.9527279007425,27.28443237825915,0.10123497012916131
1.259375,1.6375,0.45,5.557352427515874,5.637208554516128,-0.18411690526575816,15.971225400050768,20.071636791329258,28.897237093559582,0.10148189216738351
1.2349999999999999,1.655,0.45,5.552102759544972,5.629502019087864,-0.8960660462956803,15.479851908578425,19.657322165705686,28.840687394285933,0.10105830897547723
1.243125,1.69,0.45,5.550873325883472,5.629538140945592,-0.6348164827902951,15.732963012423971,20.18601873236414,28.882691391953703,0.10123719917308241
1.2349999999999999,1.4975,0.45,5.550135250679979,5.624506245505247,-0.922084804668321,14.874198965053456,17.972893164872982,27.675168300816818,0.10072486038312542
1.2675,1.5150000000000001,0.45,5.548014944902289,5.626488064329647,-0.04086921192078444,15.694623885471454,18.954538274106856,28.17940337395411,0.10155921541022303
1.2675,1.5325,0.45,5.5471488409932315,5.625994874156204,-0.03643706660595338,15.769206632594447,19.148950056756245,28.39179819300771,0.10157521757521122
1.243125,1.445,0.45,5.544776316585542,5.6185968923305385,-0.6907092903505909,14.764115148999176,17.542713309083435,27.11648338611194,0.10077333164939929
1.2675,1.4975,0.45,5.544677191278761,5.622741524796803,-0.04494945869087072,15.612866703608326,18.75426290726547,27.982971722666182,0.10153968311646538
1.25125,1.4275000000000002,0.45,5.543573622373031,5.6178442268293685,-0.4625789513265251,14.854120891267467,17.52877601211413,26.970771002942914,0.10095084890491608
1.2675,1.55,0.45,5.542129951745505,5.621314048648405,-0.03159586592055863,15.836819380580089,19.33772517198275,28.597484527171975,0.10158771415133078
1.2675,1.48,0.45,5.53705751125353,5.614676336000106,-0.048708053374454115,15.523764949315181,18.548041897792185,27.783890606948656,0.10151662587717486
1.25125,1.69,0.45,5.534322750015882,5.613885574271916,-0.3845268451877573,15.912564851206874,20.378769197273144,28.901520113662173,0.10136625835274471
1.2349999999999999,1.6724999999999999,0.45,5.534030957140224,5.6116088678218885,-0.8913891275510862,15.515582136332746,19.818447589865773,28.851462858238456,0.10108659883701611
1.259375,1.4275000000000002,0.45,5.533902224351097,5.609140618376931,-0.2469376936905613,15.04767880516672,17.724502834468904,27.054908704693922,0.10119448988104147
1.2675,1.5675000000000001,0.45,5.532986422359176,5.612475610185274,-0.026292292165861302,15.897837565219413,19.52111132824017,28.760476277949596,0.10159675533714574
1.259375,1.655,0.45,5.530832946948351,5.610866120096535,-0.17602371784355153,16.006634629636743,20.2326050319411,28.90595188993142,0.1014851273848674
1.2349999999999999,1.48,0.45,5.530253764872354,5.6041165929820345,-0.9225426819153448,14.77256562193612,17.7577031867143,27.468052616589915,0.10068263650430465
1.2675,1.4625000000000001,0.45,5.524781224287418,5.601914869198697,-0.05217019789630164,15.426728982255765,18.33542297055445,27.577577198873986,0.10149008295816225
1.2675,1.585,0.45,5.519761237785377,5.599524385316182,-0.02053399064511268,15.952629506161045,19.69932376477294,28.860872689768435,0.10160241323274166
